generation,obs_mean,obs_std,obs_var,obs_sem,obs_ci_lower,obs_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.207,0.13449907062875935,0.01809,0.042532340636273466,1.123636612352904,1.2903633876470961
2,2.4059999999999997,0.13307892395116516,0.017710000000000004,0.042083250825001625,2.3235168283829966,2.488483171617003
3,3.624,0.27953135383669897,0.07813777777777779,0.08839557555544157,3.450744671911335,3.7972553280886654
4,4.8454999999999995,0.42563318845117226,0.18116361111111112,0.13459703232653797,4.581689816639985,5.109310183360014
5,6.043,0.47000118203161056,0.22090111111111113,0.14862742381912938,5.751690249314507,6.3343097506854935
6,7.156000000000001,0.5313860283363792,0.28237111111111113,0.1680390166333733,6.826643527398589,7.485356472601413
7,8.267,0.6830942671240753,0.4666177777777776,0.21601337407155546,7.843613786819751,8.690386213180249
8,9.3205,0.942663042190109,0.8886136111111113,0.2980962279384144,8.736231393240708,9.90476860675929
9,10.348,1.0696837538886592,1.1442233333333338,0.3382637038367158,9.685003140480038,11.010996859519963
10,11.504000000000001,1.1163551804371625,1.2462488888888896,0.3530225047909679,10.812075890609703,12.1959241093903
