generation,obs_mean,obs_std,obs_var,obs_sem,obs_ci_lower,obs_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.2542849999999999,0.011216903167392833,0.00012581891666666736,0.003547096230251829,1.2473326913887064,1.2612373086112934
2,2.49897,0.02362129688790741,0.0005579656666666643,0.007469709945283446,2.4843293685072445,2.5136106314927553
3,3.7400849999999997,0.03406351950564004,0.001160323361111119,0.010771830675939531,3.7189722118751583,3.761197788124841
4,4.9923,0.03854172342338147,0.0014854644444444317,0.012187963096614756,4.968411592330635,5.0161884076693655
5,6.245305,0.03963098149736469,0.0015706146944444623,0.012532416743966273,6.2207414631818265,6.269868536818174
6,7.500884999999999,0.05112613514088907,0.0026138816944444522,0.016167503500678304,7.46919669313867,7.5325733068613285
7,8.74586,0.047345132332221346,0.0022415615555555508,0.014971845429189919,8.716515182958789,8.775204817041212
8,10.00176,0.05565456355452365,0.0030974304444445124,0.01759951830148914,9.967264944129083,10.03625505587092
9,11.26754,0.05904836906205729,0.0034867098888889253,0.018672733835432144,11.230941441682553,11.304138558317447
10,12.513165,0.06337219443713286,0.004016035027777774,0.02004004747443921,12.4738865069501,12.552443493049902
