generation,obs_mean,obs_std,obs_var,obs_sem,obs_ci_lower,obs_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.2485204081632655,0.013616464391563832,0.0001854081025267258,0.004305904115592053,1.240080836096705,1.256959980229826
2,2.496020408163265,0.019132402719450697,0.0003660488338192444,0.006050196970506369,2.4841620221010725,2.5078787942254577
3,3.7451392857142856,0.026377451901593126,0.0006957699688208589,0.008341282688057387,3.728790371645693,3.761488199782878
4,4.991182142857143,0.0321763778034253,0.0010353192885487602,0.010175064071290952,4.971239017277413,5.0111252684368734
5,6.232317857142857,0.03953950294431994,0.0015633722930838852,0.01250348868549848,6.20781101931928,6.256824694966435
6,7.483675,0.05600882778350696,0.003136988789682541,0.01771154648720021,7.448960368885087,7.518389631114912
7,8.732389285714286,0.06365716184794255,0.0040522342545351525,0.02013016208214716,8.692934168033277,8.771844403395294
8,9.977682142857143,0.05730112123595849,0.003283418494898013,0.018120205558707143,9.942166539962077,10.013197745752208
9,11.215750000000002,0.05053036821798275,0.0025533181122449214,0.01597910545758091,11.184430953303144,11.24706904669686
10,12.461490259740259,0.05774654572872075,0.0033346635435992367,0.018261061150982534,12.425698579884333,12.497281939596185
