generation,obs_mean,obs_std,obs_var,obs_sem,obs_ci_lower,obs_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.81006,0.03296973191007505,0.001087003222222221,0.010425944668097088,3.7896251484505297,3.8304948515494703
2,7.622095,0.06121460632706687,0.0037472280277777753,0.01935775820640855,7.584153793915439,7.660036206084561
3,11.42591,0.0725136416284702,0.005258228222222206,0.02293082689791671,11.380965579280083,11.470854420719917
4,15.23332,0.07261516982620736,0.0052729628888889355,0.02296293293307485,15.188312651451174,15.278327348548828
5,19.03111,0.08729131877416828,0.007619774333333464,0.027603938728618896,18.97700628009191,19.085213719908094
6,22.828085,0.0904839244470168,0.008187340583333445,0.02861352928831647,22.7720024825949,22.884167517405103
7,26.648085000000002,0.09632536890375443,0.00927857669444438,0.03046075621918205,26.588381917810405,26.707788082189598
8,30.465415,0.09662884619339465,0.00933713391666672,0.030556724164521824,30.405523820637537,30.525306179362463
9,34.29163,0.098015217639348,0.009606982888888758,0.030995133309745185,34.2308795387129,34.3523804612871
10,38.096365000000006,0.10302702194084697,0.010614567249999762,0.03258000498772178,38.03250819022407,38.16022180977594
