generation,obs_mean,obs_std,obs_var,obs_sem,obs_ci_lower,obs_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.6704999999999997,0.48723967408247865,0.23740250000000002,0.1540787136498744,3.3685057212462457,3.9724942787537536
2,7.571000000000001,0.5461572830035116,0.29828777777777793,0.1727100974980264,7.2324882089038685,7.909511791096133
3,11.3735,0.7907803810863739,0.6253336111111107,0.25006671332088776,10.88336924189106,11.86363075810894
4,14.926499999999999,0.8977566175999175,0.8059669444444446,0.28389556961045453,14.370064683563507,15.48293531643649
5,18.5805,1.0000318050497743,1.0000636111111099,0.3162378236566761,17.960673865632916,19.200326134367085
6,22.2065,1.185484078340997,1.405372500000003,0.37488298174230356,21.471729355785083,22.941270644214914
7,25.651999999999997,1.2170095407276906,1.4811122222222244,0.38485220828549555,24.897689671760425,26.40631032823957
8,29.327999999999996,1.3015187709407476,1.6939511111111143,0.4115763733635732,28.521310308207394,30.134689691792598
9,33.0395,1.7460470434034066,3.0486802777777777,0.5521485558957641,31.9572888304443,34.121711169555695
10,36.668,1.839237764824207,3.3827955555555453,0.5816180495441613,35.528028622893444,37.807971377106554
