generation,obs_mean,obs_std,obs_var,obs_sem,obs_ci_lower,obs_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.8171928571428566,0.05329806763481521,0.0028406840136053365,0.016854328861171948,3.7841583725749595,3.8502273417107538
2,7.650153571428571,0.06632679105347586,0.0043992432114514455,0.02097437296190626,7.609043800423234,7.691263342433907
3,11.48009999999999,0.07967451289173799,0.006348028004535724,0.025195293220234057,11.430717225288332,11.529482774711648
4,15.304750000000002,0.08283525470334543,0.006861679421768112,0.02619480754227469,15.253408177217144,15.35609182278286
5,19.115989285714285,0.07936225400724058,0.006298367361109773,0.02509654829077053,19.066800051064376,19.165178520364194
6,22.920971428571434,0.07493198125006872,0.005614801814060651,0.02369557303392482,22.874528105424943,22.967414751717925
7,26.742371428571413,0.07648212261283198,0.005849515079364266,0.02418577077408174,26.694967317854214,26.789775539288613
8,30.56208928571428,0.07502207394360465,0.005628311578799684,0.02372406284513612,30.515590122537812,30.608588448890746
9,34.38068571428572,0.08863397976857064,0.00785598236961539,0.0280285254153967,34.32574980447154,34.435621624099895
10,38.18805714285715,0.09724337440779433,0.00945627386621447,0.03075105504891575,38.127785074961274,38.24832921075302
